x,y
-6.860120914000000347e+00,8.115999999999999881e-01
-4.324130045000000422e+00,9.072000000000000064e-01
-4.358625055000000081e+00,9.052000000000000046e-01
-4.358426747000000212e+00,9.039000000000000368e-01
-6.955852379000000418e+00,8.053000000000000158e-01
-6.661145254000000016e+00,8.377000000000000002e-01
-6.355462941999999948e+00,8.667000000000000259e-01
-6.118102025999999860e+00,8.809000000000000163e-01
-7.115148017000000102e+00,7.974999999999999867e-01
-6.815308568999999927e+00,8.162000000000000366e-01
-6.519993056999999759e+00,8.515000000000000346e-01
-6.204119983000000005e+00,8.766000000000000458e-01
-5.853871963999999650e+00,8.884999999999999565e-01
-6.109523090999999795e+00,8.859000000000000208e-01
-5.798329820000000190e+00,8.959000000000000297e-01
-5.482672117999999983e+00,8.912999999999999812e-01
-5.171791385999999768e+00,8.959000000000000297e-01
-4.851705903000000042e+00,8.971000000000000085e-01
-4.517126415999999978e+00,9.021000000000000130e-01
-4.143573228000000164e+00,9.090000000000000302e-01
-3.709075440999999973e+00,9.139000000000000457e-01
-3.499489088999999886e+00,9.199000000000000510e-01
-6.300769497000000108e+00,8.691999999999999726e-01
-5.953504835999999578e+00,8.871999999999999886e-01
-5.642065152999999889e+00,8.900000000000000133e-01
-5.031376979000000027e+00,8.910000000000000142e-01
-4.680685696000000284e+00,8.977000000000000535e-01
-4.329846954999999831e+00,9.034999999999999698e-01
-3.928486195000000070e+00,9.078000000000000513e-01
-8.567351340000000093e+00,7.674999999999999600e-01
-8.363211311000000592e+00,7.704999999999999627e-01
-8.107682738999999472e+00,7.712999999999999856e-01
-7.823908741000000333e+00,7.735999999999999543e-01
-7.522878744999999867e+00,7.774999999999999689e-01
-7.218819278999999867e+00,7.841000000000000192e-01
-6.920818753999999906e+00,7.971000000000000307e-01
-6.628932137999999696e+00,8.328999999999999737e-01
-6.323946874999999856e+00,8.640999999999999792e-01
-5.991399827999999594e+00,8.803999999999999604e-01
-8.781464494999999815e+00,7.668000000000000371e-01
-8.663140179000000884e+00,7.632999999999999785e-01
-8.473531488000000778e+00,7.678000000000000380e-01
-8.247337056999999305e+00,7.697000000000000508e-01
-7.971428747000000037e+00,7.700000000000000178e-01
-7.676129393000000078e+00,7.749000000000000332e-01
-7.352812701999999589e+00,7.795999999999999597e-01
-7.072065317999999934e+00,7.896999999999999575e-01
-6.774174009000000218e+00,8.131000000000000449e-01
-6.478861915999999610e+00,8.497999999999999998e-01
-6.159517512999999944e+00,8.740999999999999881e-01
-6.835647144000000175e+00,8.061000000000000387e-01
-6.531652669999999716e+00,8.459999999999999742e-01
-6.224098420999999881e+00,8.750999999999999890e-01
-5.910094888999999796e+00,8.856000000000000538e-01
-5.598599458999999889e+00,8.919000000000000261e-01
-5.290645224000000368e+00,8.933999999999999719e-01
-4.974284616000000270e+00,8.940000000000000169e-01
-4.644548480000000090e+00,8.957000000000000517e-01
-4.290560425999999872e+00,9.046999999999999487e-01
-3.885055583999999840e+00,9.129000000000000448e-01
-3.408378962000000012e+00,9.209000000000000519e-01
-3.132002490000000083e+00,9.219000000000000528e-01
-8.726767166000000131e+00,7.739000000000000323e-01
-8.666955970000000065e+00,7.681000000000000050e-01
-8.511026474999999536e+00,7.664999999999999591e-01
-8.165388579000000036e+00,7.702999999999999847e-01
-7.886056648000000280e+00,7.701999999999999957e-01
-7.588043761999999859e+00,7.761000000000000121e-01
-7.283412421999999609e+00,7.809000000000000385e-01
-6.995678626000000122e+00,7.961000000000000298e-01
-6.691862621000000289e+00,8.253000000000000336e-01
-6.392544977000000017e+00,8.601999999999999647e-01
-6.067374056000000238e+00,8.809000000000000163e-01
-6.684029654999999792e+00,8.300999999999999490e-01
-6.378719831999999812e+00,8.663999999999999480e-01
-6.065855187999999565e+00,8.833999999999999631e-01
-5.752272167000000103e+00,8.898000000000000353e-01
-5.132414673000000427e+00,8.963999999999999746e-01
-4.811352703999999925e+00,8.962999999999999856e-01
-4.098269307999999889e+00,9.073999999999999844e-01
-3.661742770000000036e+00,9.119000000000000439e-01
-3.264401100000000167e+00,9.227999999999999536e-01
